[ 2017-04-07T14:13:59+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块Favicon.ico
[ 2017-04-07T14:14:06+08:00 ] 127.0.0.1 /text/uploadImg
[ 2017-04-07T14:14:06+08:00 ] /text/uploadImg | INFO: Tag[ route_check ] --START--
[ 2017-04-07T14:14:06+08:00 ] /text/uploadImg | INFO: Run CheckRoute Behavior [ RunTime:0.000390s ]
[ 2017-04-07T14:14:06+08:00 ] /text/uploadImg | INFO: Tag[ route_check ] --END-- [ RunTime:0.000449s ]
[ 2017-04-07T14:14:06+08:00 ] /text/uploadImg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-04-07T14:14:06+08:00 ] /text/uploadImg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead common.php 第 66 行.
[ 2017-04-07T14:14:06+08:00 ] /text/uploadImg | INFO: Tag[ app_begin ] --START--
[ 2017-04-07T14:14:06+08:00 ] /text/uploadImg | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000298s ]
[ 2017-04-07T14:14:06+08:00 ] /text/uploadImg | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000321s ]
[ 2017-04-07T14:14:06+08:00 ] /text/uploadImg | NOTIC: [2] Missing argument 5 for Action::ajaxReturn(), called in E:\project\www.dhgj.com\www\Lib\Action\TextAction.class.php on line 35 and defined Action.class.php 第 305 行.
[ 2017-04-07T14:14:06+08:00 ] /text/uploadImg | NOTIC: [8] Undefined variable: pagestring Action.class.php 第 310 行.

[ 2017-04-07T14:14:11+08:00 ] 127.0.0.1 /Text/index
[ 2017-04-07T14:14:10+08:00 ] /Text/index | INFO: Tag[ route_check ] --START--
[ 2017-04-07T14:14:10+08:00 ] /Text/index | INFO: Run CheckRoute Behavior [ RunTime:0.000313s ]
[ 2017-04-07T14:14:10+08:00 ] /Text/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.000366s ]
[ 2017-04-07T14:14:10+08:00 ] /Text/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-04-07T14:14:10+08:00 ] /Text/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead common.php 第 66 行.
[ 2017-04-07T14:14:10+08:00 ] /Text/index | INFO: Tag[ app_begin ] --START--
[ 2017-04-07T14:14:10+08:00 ] /Text/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000236s ]
[ 2017-04-07T14:14:10+08:00 ] /Text/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000259s ]
[ 2017-04-07T14:14:10+08:00 ] /Text/index | INFO: Tag[ view_template ] --START--
[ 2017-04-07T14:14:10+08:00 ] /Text/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000480s ]
[ 2017-04-07T14:14:10+08:00 ] /Text/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000521s ]
[ 2017-04-07T14:14:10+08:00 ] /Text/index | INFO: Tag[ view_parse ] --START--
[ 2017-04-07T14:14:10+08:00 ] /Text/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2017-04-07T14:14:10+08:00 ] /Text/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-04-07T14:14:10+08:00 ] /Text/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-04-07T14:14:10+08:00 ] /Text/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-04-07T14:14:10+08:00 ] /Text/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
